N,P,K,pH,Temp(°C),Humidity(%),Moisture(%),Rainfall(cm),Crop,,,,,,,,,,,,,,,
308,31,55,6.3,39,76.7,77,127,Aman Rice,,,,,,,,,,,,,,,
173,30,70,6.1,28,73.7,70,128,Aman Rice,,,,,,,,,,,,,,,
148,44,28,6.1,19,73,77,122,Aman Rice,,,,,,,,,,,,,,,
235,37,35,6.1,32,78,82,131,Aman Rice,,,,,,,,,,,,,,,
291,29,42,6.3,28,80.1,85,143,Aman Rice,,,,,,,,,,,,,,,
164,27,52,6.2,26,80.7,87,144,Aman Rice,,,,,,,,,,,,,,,
146,44,26,6.1,33,75.6,73,128,Aman Rice,,,,,,,,,,,,,,,
229,35,31,6.2,26,75.6,74,118,Aman Rice,,,,,,,,,,,,,,,
281,26,35,6.3,31,80.7,79,149,Aman Rice,,,,,,,,,,,,,,,
156,23,42,6.4,24,79,90,145,Aman Rice,,,,,,,,,,,,,,,
155,45,34,6,29,72.4,75,130,Aman Rice,,,,,,,,,,,,,,,
256,38,53,6.3,21,76.9,89,125,Aman Rice,,,,,,,,,,,,,,,
326,31,72,6.1,30,79.6,76,127,Aman Rice,,,,,,,,,,,,,,,
173,30,94,6.2,24,72.9,73,114,Aman Rice,,,,,,,,,,,,,,,
152,44,31,6.4,28,75.3,89,144,Aman Rice,,,,,,,,,,,,,,,
247,37,46,6.2,25,79.4,77,113,Aman Rice,,,,,,,,,,,,,,,
311,29,60,6.3,22,72.9,76,113,Aman Rice,,,,,,,,,,,,,,,
161,27,77,6.4,35,73.1,75,146,Aman Rice,,,,,,,,,,,,,,,
149,44,29,6.3,27,78.2,80,147,Aman Rice,,,,,,,,,,,,,,,
238,35,38,6.2,22,80.1,86,117,Aman Rice,,,,,,,,,,,,,,,
296,26,47,6.1,28,72.8,70,117,Aman Rice,,,,,,,,,,,,,,,
167,23,74,6.3,25,72.7,76,117,Aman Rice,,,,,,,,,,,,,,,
155,45,31,6.3,19,78,85,124,Aman Rice,,,,,,,,,,,,,,,
255,38,45,6.1,28,77.7,77,119,Aman Rice,,,,,,,,,,,,,,,
325,31,59,6.1,38,78.8,71,128,Aman Rice,,,,,,,,,,,,,,,
160,30,76,6.3,30,71.5,82,146,Aman Rice,,,,,,,,,,,,,,,
150,44,31,6.4,19,77.2,81,126,Aman Rice,,,,,,,,,,,,,,,
240,36,45,6.1,38,75.6,82,150,Aman Rice,,,,,,,,,,,,,,,
300,28,59,6.1,37,73,73,135,Aman Rice,,,,,,,,,,,,,,,
173,26,76,6.2,20,78.9,70,129,Aman Rice,,,,,,,,,,,,,,,
147,44,29,6.2,30,80.3,76,126,Aman Rice,,,,,,,,,,,,,,,
230,35,38,6.1,20,80.1,86,130,Aman Rice,,,,,,,,,,,,,,,
283,26,47,6.1,21,79,74,112,Aman Rice,,,,,,,,,,,,,,,
146,23,59,6.4,39,76.1,79,147,Aman Rice,,,,,,,,,,,,,,,
147,44,27,6.1,33,73,75,144,Aman Rice,,,,,,,,,,,,,,,
230,35,33,6.1,21,80.6,70,149,Aman Rice,,,,,,,,,,,,,,,
283,26,39,6.1,24,72.8,74,133,Aman Rice,,,,,,,,,,,,,,,
168,23,48,6.3,22,76.3,85,147,Aman Rice,,,,,,,,,,,,,,,
148,44,27,6.2,38,75.6,82,117,Aman Rice,,,,,,,,,,,,,,,
233,35,32,6.3,22,76.3,76,127,Aman Rice,,,,,,,,,,,,,,,
288,26,37,6.1,27,72.1,87,150,Aman Rice,,,,,,,,,,,,,,,
148,23,45,6.3,39,79,71,136,Aman Rice,,,,,,,,,,,,,,,
145,44,25,6.1,27,78.3,75,116,Aman Rice,,,,,,,,,,,,,,,
225,35,27,6.4,20,71.7,80,141,Aman Rice,,,,,,,,,,,,,,,
275,26,29,6.3,35,79.9,73,135,Aman Rice,,,,,,,,,,,,,,,
154,23,34,6.1,31,75.5,81,136,Aman Rice,,,,,,,,,,,,,,,
155,45,34,6.2,22,72.9,73,117,Aman Rice,,,,,,,,,,,,,,,
256,38,53,6.3,37,80,73,139,Aman Rice,,,,,,,,,,,,,,,
258,20,16,6,29,77.6,90,123,Aman Rice,,,,,,,,,,,,,,,
170,14,14,6.2,38,74.2,89,136,Aman Rice,,,,,,,,,,,,,,,
172,57,41,6.1,32,78.1,87,125,Aman Rice,,,,,,,,,,,,,,,
232,40,35,6.2,36,79.8,79,118,Aman Rice,,,,,,,,,,,,,,,
265,28,25,6.1,32,72.5,81,123,Aman Rice,,,,,,,,,,,,,,,
147,22,18,6.2,20,80,72,124,Aman Rice,,,,,,,,,,,,,,,
158,66,57,6.1,22,70,75,142,Aman Rice,,,,,,,,,,,,,,,
257,59,71,6.5,25,78,73,127,Aman Rice,,,,,,,,,,,,,,,
297,41,58,6,28,75,70,114,Aman Rice,,,,,,,,,,,,,,,
155,34,67,6,26,75,81,127,Aman Rice,,,,,,,,,,,,,,,
246,60.5,92,6.2,34,77,89,118,Aman Rice,,,,,,,,,,,,,,,
223,53,51,6.1,23,80,88,127,Aman Rice,,,,,,,,,,,,,,,
282,39,58,6.4,23,73,71,120,Aman Rice,,,,,,,,,,,,,,,
161,33,67,6.3,36,72,77,127,Aman Rice,,,,,,,,,,,,,,,
211,56.5,92,6.4,30,80,85,131,Aman Rice,,,,,,,,,,,,,,,
220,53,49,6,23,78,83,133,Aman Rice,,,,,,,,,,,,,,,
272,38,51,6.1,23,74,77,117,Aman Rice,,,,,,,,,,,,,,,
162,29,55,6,26,75,72,145,Aman Rice,,,,,,,,,,,,,,,
187,53.5,75,6,32,80,77,117,Aman Rice,,,,,,,,,,,,,,,
221,53,47,6.1,39,77.7,87,123,Aman Rice,,,,,,,,,,,,,,,
275,38,45,6.1,36,78.8,70,134,Aman Rice,,,,,,,,,,,,,,,
161,29,45,6.3,36,71.5,77,118,Aman Rice,,,,,,,,,,,,,,,
194,53.5,61,6.4,26,77.2,84,127,Aman Rice,,,,,,,,,,,,,,,
221,53,47,6.1,23,75.6,88,147,Aman Rice,,,,,,,,,,,,,,,
275,38,45,6.3,24,71,81,144,Aman Rice,,,,,,,,,,,,,,,
159,29,45,6.1,30,73,72,129,Aman Rice,,,,,,,,,,,,,,,
152,45,28,6.2,36,76,88,141,Aman Rice,,,,,,,,,,,,,,,
218,32,22,6.1,21,73.3,85,134,Aman Rice,,,,,,,,,,,,,,,
275,25,29,6,36,79.5,87,112,Aman Rice,,,,,,,,,,,,,,,
157,23,39,6.2,33,71.8,78,142,Aman Rice,,,,,,,,,,,,,,,
300,58,29,6.3,21,73,90,130,Aman Rice,,,,,,,,,,,,,,,
240,50,15,6.2,33,77.7,70,143,Aman Rice,,,,,,,,,,,,,,,
150,42,21,6.4,36,73.2,76,134,Aman Rice,,,,,,,,,,,,,,,
149,38,9,6.1,34,77.4,80,150,Aman Rice,,,,,,,,,,,,,,,
230,30,15,6.1,28,76.2,82,142,Aman Rice,,,,,,,,,,,,,,,
140,42,21,6.3,35,76.4,90,150,Aman Rice,,,,,,,,,,,,,,,
155,45,31,6.4,23,76,84,116,Aman Rice,,,,,,,,,,,,,,,
174,38,45,6.1,22,71.8,86,112,Aman Rice,,,,,,,,,,,,,,,
325,31,59,6.3,39,71.2,71,147,Aman Rice,,,,,,,,,,,,,,,
188,30,76,6.2,30,74.4,87,116,Aman Rice,,,,,,,,,,,,,,,
150,44,31,6.3,37,77.3,84,150,Aman Rice,,,,,,,,,,,,,,,
164,36,45,6,36,78.1,90,146,Aman Rice,,,,,,,,,,,,,,,
300,30,59,6,19,75.5,74,129,Aman Rice,,,,,,,,,,,,,,,
183,26,76,6.2,28,77.5,82,145,Aman Rice,,,,,,,,,,,,,,,
147,44,29,6,27,75.3,83,132,Aman Rice,,,,,,,,,,,,,,,
171,35,38,6.3,27,80,90,130,Aman Rice,,,,,,,,,,,,,,,
283,26,47,6.2,24,79.6,83,122,Aman Rice,,,,,,,,,,,,,,,
280,23,59,6,25,75.1,85,119,Aman Rice,,,,,,,,,,,,,,,
148,44,27,6,19,80.3,84,122,Aman Rice,,,,,,,,,,,,,,,
146,35,32,6.3,20,73.9,90,125,Aman Rice,,,,,,,,,,,,,,,
288,26,37,6.1,30,77.3,85,115,Aman Rice,,,,,,,,,,,,,,,
294,23,45,6.1,29,79.8,83,136,Aman Rice,,,,,,,,,,,,,,,
148,44,27,6.3,35,76.7,77,143,Aman Rice,,,,,,,,,,,,,,,
161,35,32,6.1,29,73.7,72,131,Aman Rice,,,,,,,,,,,,,,,
288,26,37,6.1,38,73,70,114,Aman Rice,,,,,,,,,,,,,,,
244,23,45,6.1,37,78,83,147,Aman Rice,,,,,,,,,,,,,,,
158,41,32,6.3,28,80.1,82,142,Aman Rice,,,,,,,,,,,,,,,
172,39,54,6.2,21,80.7,83,146,Aman Rice,,,,,,,,,,,,,,,
329,32,71,6.1,21,75.6,76,125,Aman Rice,,,,,,,,,,,,,,,
228,31,95,6.2,34,75.6,80,112,Aman Rice,,,,,,,,,,,,,,,
155,42,32,6.3,26,80.7,85,124,Aman Rice,,,,,,,,,,,,,,,
159,36,47,6.4,27,79,85,129,Aman Rice,,,,,,,,,,,,,,,
320,28,61,6,23,72.4,70,135,Aman Rice,,,,,,,,,,,,,,,
217.8,29,74,6.3,21,76.9,78,130,Aman Rice,,,,,,,,,,,,,,,
154,42,32,6.1,21,79.6,90,124,Aman Rice,,,,,,,,,,,,,,,
160,37,36,6.2,19,72.9,72,116,Aman Rice,,,,,,,,,,,,,,,
303,28,48,6.4,32,75.3,73,129,Aman Rice,,,,,,,,,,,,,,,
288,26,75,6.2,32,79.4,78,149,Aman Rice,,,,,,,,,,,,,,,
147,43,29,6.3,35,72.9,75,138,Aman Rice,,,,,,,,,,,,,,,
171,37,44,6.4,39,73.1,79,112,Aman Rice,,,,,,,,,,,,,,,
318,29,55,6.3,33,78.2,74,139,Aman Rice,,,,,,,,,,,,,,,
267,31,74,6.2,37,80.1,88,127,Aman Rice,,,,,,,,,,,,,,,
145,39,32,6.1,39,72.8,89,137,Aman Rice,,,,,,,,,,,,,,,
154,38,44,6.3,34,72.7,89,123,Aman Rice,,,,,,,,,,,,,,,
289,25,61,6.3,35,78,75,144,Aman Rice,,,,,,,,,,,,,,,
212,28,74,6.1,32,77.7,85,117,Aman Rice,,,,,,,,,,,,,,,
156,44,31,6.5,21,72,61,116,Aush Rice,,,,,,,,,,,,,,,
150,37,46,6.6,40,71.4,84,125,Aush Rice,,,,,,,,,,,,,,,
331,29,60,6.5,34,71.7,67,138,Aush Rice,,,,,,,,,,,,,,,
251,27,77,6.5,38,76.8,70,150,Aush Rice,,,,,,,,,,,,,,,
151,44,29,6.3,27,76.7,78,113,Aush Rice,,,,,,,,,,,,,,,
155,37,38,6.6,21,76.1,82,149,Aush Rice,,,,,,,,,,,,,,,
306,29,47,6.3,24,72.6,65,115,Aush Rice,,,,,,,,,,,,,,,
249,27,59,6.6,36,74,69,133,Aush Rice,,,,,,,,,,,,,,,
148,44,27,6.3,29,74.3,84,112,Aush Rice,,,,,,,,,,,,,,,
149,37,34,6.5,39,73.3,77,128,Aush Rice,,,,,,,,,,,,,,,
288,28,40,6.3,37,69.5,60,150,Aush Rice,,,,,,,,,,,,,,,
233,27,49,6.6,24,70.8,75,119,Aush Rice,,,,,,,,,,,,,,,
146,44,26,6.5,32,73.7,74,138,Aush Rice,,,,,,,,,,,,,,,
161,35,29,6.6,24,72.6,72,138,Aush Rice,,,,,,,,,,,,,,,
278,26,32,6.4,27,72,72,118,Aush Rice,,,,,,,,,,,,,,,
181,23,38,6.7,39,69,79,129,Aush Rice,,,,,,,,,,,,,,,
156,44,31,6.6,38,73,84,145,Aush Rice,,,,,,,,,,,,,,,
153,37,46,6.6,37,72.4,81,121,Aush Rice,,,,,,,,,,,,,,,
331,29,60,6.4,24,70.6,70,116,Aush Rice,,,,,,,,,,,,,,,
289,27,77,6.4,25,71.7,82,127,Aush Rice,,,,,,,,,,,,,,,
151,44,29,6.4,30,75.5,78,116,Aush Rice,,,,,,,,,,,,,,,
170,37,38,6.5,40,67.6,82,124,Aush Rice,,,,,,,,,,,,,,,
306,29,47,6.6,28,75.2,85,119,Aush Rice,,,,,,,,,,,,,,,
273,27,59,6.3,29,72.5,85,119,Aush Rice,,,,,,,,,,,,,,,
153,45,29,6.3,35,67.2,83,135,Aush Rice,,,,,,,,,,,,,,,
171,38,38,6.6,35,68.6,61,119,Aush Rice,,,,,,,,,,,,,,,
313,31,47,6.4,23,68.9,63,143,Aush Rice,,,,,,,,,,,,,,,
178,30,59,6.6,30,76.9,67,115,Aush Rice,,,,,,,,,,,,,,,
149,44,27,6.3,34,69.4,66,146,Aush Rice,,,,,,,,,,,,,,,
148,37,32,6.4,40,68.4,70,129,Aush Rice,,,,,,,,,,,,,,,
293,29,37,6.3,19,67.2,85,133,Aush Rice,,,,,,,,,,,,,,,
224,27,45,6.7,22,68.3,70,142,Aush Rice,,,,,,,,,,,,,,,
145,44,25,6.7,22,72.6,61,137,Aush Rice,,,,,,,,,,,,,,,
171,35,27,6.5,30,75,66,146,Aush Rice,,,,,,,,,,,,,,,
275,26,29,6.4,19,75.9,61,132,Aush Rice,,,,,,,,,,,,,,,
263,23,34,6.5,34,68.1,81,144,Aush Rice,,,,,,,,,,,,,,,
155,45,30,6.7,27,71.7,83,134,Aush Rice,,,,,,,,,,,,,,,
160,33,22,6.4,22,73.7,67,116,Aush Rice,,,,,,,,,,,,,,,
331,29,60,6.3,19,74.7,64,143,Aush Rice,,,,,,,,,,,,,,,
264,27,59,6.6,28,68.8,68,126,Aush Rice,,,,,,,,,,,,,,,
151,44,29,6.4,32,70.5,69,127,Aush Rice,,,,,,,,,,,,,,,
156,32,21,6.5,32,74.1,78,140,Aush Rice,,,,,,,,,,,,,,,
306,29,47,6.7,24,72.4,81,149,Aush Rice,,,,,,,,,,,,,,,
173.1,14,11,6.7,28,72.4,81,129,Aush Rice,,,,,,,,,,,,,,,
156,66,55,6.5,19,71.4,78,135,Aush Rice,,,,,,,,,,,,,,,
146,53,49,6.5,34,70.7,85,144,Aush Rice,,,,,,,,,,,,,,,
314.5,40,58,6.5,25,73.8,74,142,Aush Rice,,,,,,,,,,,,,,,
179,30.5,60,6.4,23,71.9,69,137,Aush Rice,,,,,,,,,,,,,,,
152,65,53,6.5,36,75.5,78,141,Aush Rice,,,,,,,,,,,,,,,
155,58,51,6.7,30,71.2,79,124,Aush Rice,,,,,,,,,,,,,,,
294.5,38,48,6.4,30,69.1,69,147,Aush Rice,,,,,,,,,,,,,,,
278,27.5,46,6.5,31,67.8,77,117,Aush Rice,,,,,,,,,,,,,,,
148,65,51,6.6,33,76.6,77,149,Aush Rice,,,,,,,,,,,,,,,
155,50,38,6.6,40,74.6,64,122,Aush Rice,,,,,,,,,,,,,,,
276.5,35,40,6.7,37,67.5,79,142,Aush Rice,,,,,,,,,,,,,,,
221.3,23.5,35,6.5,37,69.5,74,128,Aush Rice,,,,,,,,,,,,,,,
155,45,30,6.5,31,72.7,65,119,Aush Rice,,,,,,,,,,,,,,,
157,33,24,6.7,28,76.1,65,145,Aush Rice,,,,,,,,,,,,,,,
326,34,55,6.4,19,68.3,75,133,Aush Rice,,,,,,,,,,,,,,,
232,30,57,6.5,22,67.2,77,147,Aush Rice,,,,,,,,,,,,,,,
148,44,27,6.5,38,73.5,77,118,Aush Rice,,,,,,,,,,,,,,,
150,32,20,6.7,37,76.1,81,139,Aush Rice,,,,,,,,,,,,,,,
267,23,23,6.6,23,75.3,66,145,Aush Rice,,,,,,,,,,,,,,,
178,20,29,6.7,35,71.1,79,118,Aush Rice,,,,,,,,,,,,,,,
340,98,89,6.4,31,73.9,77,131,Aush Rice,,,,,,,,,,,,,,,
171,90,55,6.6,35,71.8,81,125,Aush Rice,,,,,,,,,,,,,,,
190,82,41,6.7,35,73.3,68,137,Aush Rice,,,,,,,,,,,,,,,
320,78,49,6.4,29,70.5,78,139,Aush Rice,,,,,,,,,,,,,,,
260,70,35,6.6,22,67.7,64,132,Aush Rice,,,,,,,,,,,,,,,
174,62,21,6.4,29,74.1,81,138,Aush Rice,,,,,,,,,,,,,,,
153,45,29,6.5,34,72.1,66,136,Aush Rice,,,,,,,,,,,,,,,
248,38,38,6.4,34,67,66,146,Aush Rice,,,,,,,,,,,,,,,
313,31,47,6.6,40,69.9,64,136,Aush Rice,,,,,,,,,,,,,,,
159,30,59,6.4,25,72.3,73,135,Aush Rice,,,,,,,,,,,,,,,
149,44,27,6.6,37,68,75,121,Aush Rice,,,,,,,,,,,,,,,
237,43,32,6.4,27,74,75,147,Aush Rice,,,,,,,,,,,,,,,
293,29,37,6.3,35,71.7,76,113,Aush Rice,,,,,,,,,,,,,,,
164,27,45,6.6,33,74.7,76,116,Aush Rice,,,,,,,,,,,,,,,
145,44,25,6.5,35,73.6,68,146,Aush Rice,,,,,,,,,,,,,,,
225,35,27,6.3,24,74.3,67,124,Aush Rice,,,,,,,,,,,,,,,
275,26,29,6.6,40,76.1,83,115,Aush Rice,,,,,,,,,,,,,,,
153,23,34,6.3,25,72.6,68,149,Aush Rice,,,,,,,,,,,,,,,
287.8,29,75,6.6,32,74,84,138,Aush Rice,,,,,,,,,,,,,,,
151,42,28,6.3,22,74.3,80,125,Aush Rice,,,,,,,,,,,,,,,
244,35,35,6.5,39,73.3,83,133,Aush Rice,,,,,,,,,,,,,,,
155,31,46,6.3,38,69.5,68,149,Aush Rice,,,,,,,,,,,,,,,
203,28,58,6.6,23,70.8,79,116,Aush Rice,,,,,,,,,,,,,,,
148,43,26,6.5,23,73.7,65,128,Aush Rice,,,,,,,,,,,,,,,
233,36,33,6.6,20,72.6,61,120,Aush Rice,,,,,,,,,,,,,,,
159,25,41,6.4,25,72,85,123,Aush Rice,,,,,,,,,,,,,,,
263.8,26,51,6.7,38,69,67,141,Aush Rice,,,,,,,,,,,,,,,
146,43,27,6.6,35,73,78,134,Aush Rice,,,,,,,,,,,,,,,
227,36,28,6.6,20,72.4,63,123,Aush Rice,,,,,,,,,,,,,,,
166,25,33,6.4,21,70.6,78,114,Aush Rice,,,,,,,,,,,,,,,
269,22,37,6.4,35,71.7,69,142,Aush Rice,,,,,,,,,,,,,,,
156,43,30,6.4,25,75.5,60,128,Aush Rice,,,,,,,,,,,,,,,
259,36,45,6.5,33,67.6,79,132,Aush Rice,,,,,,,,,,,,,,,
171,28,61,6.6,20,75.2,68,143,Aush Rice,,,,,,,,,,,,,,,
235.2,26,78,6.3,23,72.5,80,150,Aush Rice,,,,,,,,,,,,,,,
151,43,30,6.3,33,67.2,73,137,Aush Rice,,,,,,,,,,,,,,,
244,36,39,6.5,25,72,66,143,Aush Rice,,,,,,,,,,,,,,,
172,28,46,6.6,36,71.4,69,140,Aush Rice,,,,,,,,,,,,,,,
180,26,58,6.5,34,71.7,71,145,Aush Rice,,,,,,,,,,,,,,,
153,44,28,6.5,37,76.8,67,119,Aush Rice,,,,,,,,,,,,,,,
248,37,37,6.3,25,76.7,84,147,Aush Rice,,,,,,,,,,,,,,,
174,30,46,6.6,34,76.1,73,139,Aush Rice,,,,,,,,,,,,,,,
193,29,59,6.3,29,72.6,62,114,Aush Rice,,,,,,,,,,,,,,,
149,43,28,6.6,22,74,75,118,Aush Rice,,,,,,,,,,,,,,,
148,43,28,6.3,35,74.3,82,121,Aush Rice,,,,,,,,,,,,,,,
156,31,21,6.5,36,73.3,64,136,Aush Rice,,,,,,,,,,,,,,,
267,22,24,6.3,26,69.5,74,138,Aush Rice,,,,,,,,,,,,,,,
296.6,21,30,6.6,28,70.8,84,138,Aush Rice,,,,,,,,,,,,,,,
340,99,90,6.5,35,73.7,65,124,Aush Rice,,,,,,,,,,,,,,,
174,91,56,6.6,32,72.6,69,139,Aush Rice,,,,,,,,,,,,,,,
190,83,42,6.4,33,72,69,117,Aush Rice,,,,,,,,,,,,,,,
320,79,50,6.7,34,69,77,130,Aush Rice,,,,,,,,,,,,,,,
260,71,36,6.6,32,73,84,148,Aush Rice,,,,,,,,,,,,,,,
150,63,22,6.6,29,72.4,60,127,Aush Rice,,,,,,,,,,,,,,,
153,46,28,6.4,25,70.6,79,144,Aush Rice,,,,,,,,,,,,,,,
248,39,39,6.4,29,71.7,65,130,Aush Rice,,,,,,,,,,,,,,,
313,32,48,6.4,31,75.5,80,130,Aush Rice,,,,,,,,,,,,,,,
174,29,58,6.5,24,67.6,64,140,Aush Rice,,,,,,,,,,,,,,,
149,43,28,6.6,39,75.2,77,112,Aush Rice,,,,,,,,,,,,,,,
237,42,32,6.3,24,72.5,74,121,Aush Rice,,,,,,,,,,,,,,,
293,28,36,6.3,29,67.2,67,133,Aush Rice,,,,,,,,,,,,,,,
150,28,44,6.6,23,68.6,75,129,Aush Rice,,,,,,,,,,,,,,,
145,43,24,6.4,24,68.9,81,147,Aush Rice,,,,,,,,,,,,,,,
148,44,27,6.6,35,76.9,72,146,Aush Rice,,,,,,,,,,,,,,,
242,37,36,6.3,20,69.4,81,123,Aush Rice,,,,,,,,,,,,,,,
171,29,45,6.4,29,68.4,79,146,Aush Rice,,,,,,,,,,,,,,,
259.1,27,57,6.3,29,67.2,83,128,Aush Rice,,,,,,,,,,,,,,,
145,44,29,6.7,31,68.3,62,150,Aush Rice,,,,,,,,,,,,,,,
241,37,35,6.7,27,72.6,69,113,Aush Rice,,,,,,,,,,,,,,,
171,28,41,6.5,33,75,80,140,Aush Rice,,,,,,,,,,,,,,,
245,27,50,6.4,37,75.9,68,140,Aush Rice,,,,,,,,,,,,,,,
135,44,27,6.5,27,68.1,68,148,Aush Rice,,,,,,,,,,,,,,,
225,35,30,6.7,32,71.7,72,129,Aush Rice,,,,,,,,,,,,,,,
158,26,33,6.4,21,73.7,84,144,Aush Rice,,,,,,,,,,,,,,,
176.4,23,39,6.3,19,74.7,63,133,Aush Rice,,,,,,,,,,,,,,,
166,44,32,6.6,38,68.8,61,118,Aush Rice,,,,,,,,,,,,,,,
256,37,45,6.4,28,70.5,85,137,Aush Rice,,,,,,,,,,,,,,,
174,29,62,6.5,39,74.1,60,138,Aush Rice,,,,,,,,,,,,,,,
265,27,77,6.7,37,72.4,84,129,Aush Rice,,,,,,,,,,,,,,,
145,44,29,6.7,23,72.4,73,132,Aush Rice,,,,,,,,,,,,,,,
234,37,38,6.5,40,71.4,72,117,Aush Rice,,,,,,,,,,,,,,,
166,29,47,6.5,30,70.7,60,136,Aush Rice,,,,,,,,,,,,,,,
274,27,59,6.5,21,73.8,61,148,Aush Rice,,,,,,,,,,,,,,,
152,45,29,6.4,21,71.9,61,137,Aush Rice,,,,,,,,,,,,,,,
233,38,38,6.5,35,75.5,80,127,Aush Rice,,,,,,,,,,,,,,,
158,29,47,6.7,30,71.2,68,114,Aush Rice,,,,,,,,,,,,,,,
148,47,29,6.1,22,70,57,47,Bean,,,,,,,,,,,,,,,
233,46,38,6,26,66,69,47,Bean,,,,,,,,,,,,,,,
288,44,47,5.9,27,68.8,50,79,Bean,,,,,,,,,,,,,,,
152,48,59,6,27,69,64,55,Bean,,,,,,,,,,,,,,,
148,47,27,6.2,15,69.6,57,50,Bean,,,,,,,,,,,,,,,
221,44,32,6.1,23,66.8,63,49,Bean,,,,,,,,,,,,,,,
268,41,27,6.2,15,70.8,60,65,Bean,,,,,,,,,,,,,,,
149,44,45,6.2,30,69.5,64,45,Bean,,,,,,,,,,,,,,,
148,47,29,5.9,19,69.4,58,61,Bean,,,,,,,,,,,,,,,
233,46,38,6.1,22,74.5,63,66,Bean,,,,,,,,,,,,,,,
288,44,47,6.3,28,68.1,54,52,Bean,,,,,,,,,,,,,,,
165,48,59,6.1,28,71.2,68,61,Bean,,,,,,,,,,,,,,,
144,47,27,6.2,25,65.1,57,52,Bean,,,,,,,,,,,,,,,
221,44,32,6,21,67.2,57,78,Bean,,,,,,,,,,,,,,,
268,41,37,6,27,65.6,61,40,Bean,,,,,,,,,,,,,,,
154,44,45,6.1,21,74,50,74,Bean,,,,,,,,,,,,,,,
143,47,27,6.1,30,68.4,63,40,Bean,,,,,,,,,,,,,,,
219,44,33,6.3,29,65.4,69,70,Bean,,,,,,,,,,,,,,,
265,41,39,6.1,23,72.9,60,43,Bean,,,,,,,,,,,,,,,
153,44,48,5.9,16,67.4,53,61,Bean,,,,,,,,,,,,,,,
148,47,29,6.1,25,71.1,51,72,Bean,,,,,,,,,,,,,,,
233,45,38,6.2,22,73.4,55,61,Bean,,,,,,,,,,,,,,,
288,43,47,6,23,71.7,59,78,Bean,,,,,,,,,,,,,,,
159,47,59,6.2,16,69.3,58,80,Bean,,,,,,,,,,,,,,,
143,47,27,6,25,66.3,67,48,Bean,,,,,,,,,,,,,,,
219,44,32,5.9,27,71.7,58,58,Bean,,,,,,,,,,,,,,,
265,41,37,6.2,30,73.6,56,54,Bean,,,,,,,,,,,,,,,
160,44,45,5.9,18,74.1,67,79,Bean,,,,,,,,,,,,,,,
146,68,53,6,19,70.6,69,50,Bean,,,,,,,,,,,,,,,
222,59,52,6.3,27,72,50,73,Bean,,,,,,,,,,,,,,,
266.5,50,50,6,29,65.4,60,66,Bean,,,,,,,,,,,,,,,
176,44.5,49,6.1,29,66.4,50,44,Bean,,,,,,,,,,,,,,,
151,68,55,6,17,71.9,51,44,Bean,,,,,,,,,,,,,,,
235,60,57,6.2,15,67.7,51,61,Bean,,,,,,,,,,,,,,,
289.5,52,58,6,26,68,53,44,Bean,,,,,,,,,,,,,,,
149,47.5,60,6.2,19,74.9,56,76,Bean,,,,,,,,,,,,,,,
